Symbol,Name,Exchange,Sector,Industry,Date,Volume,Close,SMA_14,SMA_50,SMA_200,ADX_14,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,StdDev_5,LinearReg_5,CDL_Engulfing,CDL_3WhiteSoldiers
A,"Agilent Technologies, Inc.",NYSE,Health Care,Medical Equipment,2026-08-14,983100.0,148.53,143.54,135.64,131.08,19.36,69.01,4.1912,3.4906,0.7006,152.14,141.12,130.1,0.4679,148.74,0,0
AAOI,Applied Optoelectronics Inc.,NASD,Technology,Telecom Equipment,2026-08-14,18774900.0,150.28,118.92,133.94,94.99,22.26,61.04,3.8535,-1.7946,5.6481,154.48,115.38,76.29,7.0814,143.23,0,0
AAPL,"Apple, Inc.",NASD,Technology,Computer Hardware,2026-08-14,28229300.0,305.93,314.06,309.19,280.48,22.21,43.67,-2.4582,0.1883,-2.6465,343.93,318.43,292.94,1.9291,304.48,0,0
ABBV,AbbVie Inc.,NYSE,Health Care,Biotechnology,2026-08-14,4195300.0,249.46,250.5,244.46,225.61,19.49,50.99,0.6856,1.6311,-0.9455,263.93,252.15,240.36,0.9948,250.16,0,0
ABNB,Airbnb Inc.,NASD,Consumer Discretionary,Travel & Tourism,2026-08-14,3766100.0,184.06,165.1,148.42,134.74,34.61,75.0,10.428,7.0635,3.3645,191.69,158.3,124.91,1.8836,183.56,0,0
ABT,Abbott Laboratories,NYSE,Health Care,Pharmaceuticals,2026-08-14,5575600.0,111.25,108.03,97.63,107.36,33.12,72.81,3.8865,3.7372,0.1493,113.08,106.14,99.19,1.0353,111.72,0,0
ADI,"Analog Devices, Inc.",NASD,Technology,Semiconductors,2026-08-14,2115900.0,389.39,376.04,391.57,338.22,14.35,54.1,-0.8042,-3.5411,2.7369,395.71,376.53,357.35,2.6604,386.2,0,0
ADM,Archer Daniels Midland Co.,NYSE,Consumer Staples,Food Products,2026-08-14,2065800.0,80.45,79.6,80.03,70.4,17.77,50.32,-0.341,-0.2048,-0.1363,87.88,81.45,75.01,0.2905,80.18,0,0
ADP,"Automatic Data Processing, Inc.",NASD,Industrial,Business Support Services,2026-08-14,1457300.0,272.96,270.46,245.12,235.36,38.77,62.62,8.4878,8.8954,-0.4076,285.42,263.95,242.48,2.3417,273.4,0,0
ADSK,"Autodesk, Inc.",NASD,Technology,Software,2026-08-14,1395400.0,251.66,244.43,217.56,250.8,26.91,63.41,10.6949,9.0938,1.6012,268.21,234.77,201.33,3.1416,252.87,0,0
AEHR,Aehr Test Systems,NASD,Technology,Semiconductors,2026-08-14,3314900.0,134.06,100.39,93.43,57.35,22.42,67.58,10.5396,5.3609,5.1786,134.65,95.87,57.09,9.7191,134.37,0,0
AEM,Agnico Eagle Mines Ltd.,NYSE,Materials,Gold Mining,2026-08-14,2902200.0,186.46,164.9,157.07,183.3,28.1,72.06,8.5713,4.3023,4.269,192.58,158.46,124.34,2.5095,184.96,0,0
AER,AerCap Holdings NV,NYSE,Industrial,Transportation Services,2026-08-14,689500.0,152.45,152.01,147.6,142.49,15.24,54.24,0.85,1.3237,-0.4737,155.92,151.5,147.08,1.2043,151.28,80,0
AFL,"Aflac, Inc.",NYSE,Financial,Life Insurance,2026-08-14,1439300.0,121.45,124.86,121.34,114.09,21.3,43.52,-0.0463,0.8703,-0.9166,129.89,124.79,119.69,0.4101,121.07,100,0
AFRM,Affirm Holdings Inc.,NASD,Technology,Computer Services,2026-08-14,1974100.0,78.35,75.26,75.47,66.3,12.71,54.89,0.2696,-0.0599,0.3295,79.85,74.6,69.35,1.8562,77.9,0,0
AHR,American Healthcare REIT Inc.,NYSE,Real Estate,Specialty REITs,2026-08-14,4372900.0,54.31,55.13,52.71,50.05,22.43,48.94,0.0196,0.5179,-0.4983,58.86,55.72,52.57,1.0735,53.45,0,0
AJG,Gallagher Arthur J & Co.,NYSE,Financial,Property-Casualty Insurance,2026-08-14,895700.0,251.21,253.78,239.95,233.37,21.82,52.31,2.9836,4.0601,-1.0765,264.52,252.03,239.55,1.4028,252.73,0,0
AKAM,"Akamai Technologies, Inc.",NASD,Technology,Software,2026-08-14,2176600.0,124.99,117.72,122.66,107.4,15.95,55.59,0.0122,-1.326,1.3382,128.81,118.3,107.79,3.6423,126.14,0,0
ALAB,Astera Labs Inc.,NASD,Technology,Semiconductors,2026-08-14,2523600.0,321.61,312.86,355.03,215.8,17.77,48.6,-6.7635,-9.7784,3.0148,361.84,312.04,262.23,3.7944,322.39,0,0
ALL,Allstate Corp.,NYSE,Financial,Property-Casualty Insurance,2026-08-14,1544100.0,261.41,265.56,245.76,217.34,27.08,53.39,4.5487,6.3869,-1.8382,276.06,262.54,249.03,4.46,258.27,0,0
ALLE,Allegion Public Ltd. Co.,NYSE,Industrial,Business Support Services,2026-08-14,1048200.0,164.78,164.17,144.62,151.59,43.53,64.72,6.961,7.1623,-0.2013,178.66,158.99,139.32,1.2272,165.56,0,0
ALLY,Ally Financial Inc.,NYSE,Financial,Banks,2026-08-14,2210600.0,44.91,44.07,44.71,42.56,17.25,53.99,-0.0899,-0.1867,0.0968,45.43,44.11,42.78,0.4116,44.88,0,0
AMAT,"Applied Materials, Inc.",NASD,Technology,Semiconductors,2026-08-14,13132300.0,507.18,516.25,558.92,388.68,10.93,44.92,-7.3895,-8.9333,1.5438,582.44,524.38,466.33,13.7948,524.1,0,0
