Symbol,Name,Exchange,Sector,Industry,Date,Volume,Close,SMA_14,SMA_50,SMA_200,ADX_14,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,StdDev_5,LinearReg_5,CDL_Engulfing,CDL_3WhiteSoldiers
AMD,"Advanced Micro Devices, Inc.",NASD,Technology,Semiconductors,2026-08-14,25570200.0,514.39,480.56,510.4,324.33,10.01,53.73,-6.1201,-7.697,1.5769,553.6,494.24,434.89,15.6493,504.5,0,0
AME,"Ametek, Inc.",NYSE,Industrial,Diversified Industrials,2026-08-14,1577100.0,254.79,249.62,238.6,222.6,21.07,62.96,5.5156,4.7026,0.8131,262.19,246.55,230.91,1.863,256.49,0,0
AMGN,"Amgen, Inc.",NASD,Health Care,Biotechnology,2026-08-14,2036700.0,415.21,401.91,370.22,349.38,39.06,70.02,14.3691,12.5176,1.8515,429.75,392.34,354.93,1.2857,416.06,0,0
AMKR,"Amkor Technology, Inc.",NASD,Technology,Semiconductors,2026-08-14,3233800.0,58.99,52.57,67.98,54.9,19.89,49.49,-3.1509,-4.4279,1.2769,69.64,56.17,42.69,2.2258,59.03,0,0
AMZN,"Amazon.com, Inc.",NASD,Consumer Discretionary,Broadline Retailers,2026-08-14,27251600.0,262.65,263.63,248.17,237.7,26.87,53.49,6.6097,6.2173,0.3925,294.45,256.52,218.59,5.5053,261.48,0,0
ANET,"Arista Networks, Inc.",NYSE,Technology,Telecom Equipment,2026-08-14,4707400.0,198.82,188.22,173.89,148.26,25.38,59.66,8.3884,6.4299,1.9585,210.77,183.76,156.75,6.3329,204.56,0,0
AON,Aon Corp.,NYSE,Financial,Insurance Brokers,2026-08-14,704400.0,355.83,361.25,348.12,337.16,20.63,49.48,1.4361,3.4572,-2.021,375.27,360.84,346.4,1.747,355.41,0,0
APA,APA Corporation,NASD,Energy,Exploration & Production,2026-08-14,3961300.0,40.47,37.77,35.58,32.1,19.48,64.98,1.3623,0.9134,0.4489,41.25,37.15,33.04,0.3953,40.07,0,0
APGE,Apogee Therapeutics Inc.,NASD,Health Care,Biotechnology,2026-08-14,1479700.0,134.55,134.39,123.51,86.93,64.34,76.23,2.586,3.5628,-0.9768,134.77,134.34,133.91,0.0845,134.49,0,0
APH,Amphenol Corp.,NYSE,Technology,Electrical Components,2026-08-14,4482300.0,167.11,164.22,159.64,144.12,12.91,56.14,3.2665,2.7825,0.484,177.85,161.22,144.59,1.3674,167.02,0,0
APO,Apollo Global Management LLC,NYSE,Financial,Asset Managers,2026-08-14,2559000.0,140.76,130.95,126.48,127.4,27.8,65.45,4.4514,2.5141,1.9373,143.57,127.74,111.92,3.8619,143.21,0,0
AR,Antero Resources Corp.,NYSE,Energy,Exploration & Production,2026-08-14,3184600.0,37.37,35.94,34.92,35.88,16.82,59.7,0.6497,0.3829,0.2668,38.11,35.48,32.86,0.3466,37.23,0,0
ARES,"Ares Management, LP",NYSE,Financial,Specialty Finance,2026-08-14,2021300.0,144.02,136.97,126.89,133.95,31.43,63.44,5.8259,4.5247,1.3012,151.13,132.74,114.34,3.7706,147.13,0,0
ARM,Arm Holdings Plc,NASD,Technology,Semiconductors,2026-08-14,2102000.0,279.44,262.92,311.3,195.03,16.39,50.14,-6.3252,-10.9381,4.6129,303.33,266.66,229.98,4.7972,279.85,0,0
ARMK,Aramark,NYSE,Consumer Discretionary,Restaurants & Bars,2026-08-14,2923500.0,62.39,57.92,56.24,45.05,28.37,75.7,1.1873,0.7082,0.4791,61.3,57.61,53.92,2.2668,62.81,0,0
ASML,ASML Holding NV,NASD,Technology,Semiconductors,2026-08-14,928900.0,1844.08,1709.07,1775.72,1428.39,13.28,59.47,16.3033,-5.5075,21.8108,1892.19,1724.28,1556.37,41.2865,1860.94,0,0
ASND,Ascendis Pharma A/S,NASD,Health Care,Biotechnology,2026-08-14,650300.0,248.5,249.95,248.08,228.47,13.95,46.3,-0.6538,-0.2569,-0.397,259.24,250.91,242.58,3.9292,247.56,0,0
ASX,Advanced Semiconductor,NYSE,Technology,Semiconductors,2026-08-14,5109300.0,39.54,36.89,38.79,26.43,10.23,54.54,0.0604,-0.3787,0.4392,41.87,37.34,32.81,0.7579,39.92,0,0
ATI,Allegheny Technologies,NYSE,Materials,Steel,2026-08-14,1226200.0,228.48,209.16,196.86,150.01,29.01,70.34,10.8662,7.6592,3.207,240.98,204.88,168.78,1.2028,228.42,0,0
AU,Anglogold Ashanti Ltd.,NYSE,Materials,Gold Mining,2026-08-14,1211700.0,96.3,88.43,84.25,92.2,17.19,65.22,3.9212,2.1699,1.7513,101.32,85.55,69.79,1.0109,95.94,0,0
AVGO,Broadcom Inc.,NASD,Technology,Semiconductors,2026-08-14,29513500.0,392.99,405.05,390.47,369.2,14.34,46.5,6.76,6.181,0.579,434.53,399.5,364.46,10.3039,401.66,0,0
AVT,"Avnet, Inc.",NASD,Technology,Electrical Components,2026-08-14,884800.0,95.71,92.84,89.03,68.56,16.39,60.62,2.64,2.1332,0.5068,100.6,91.62,82.65,0.7264,95.8,0,0
AWK,American Water Works Co. Inc.,NYSE,Utilities,Water,2026-08-14,1728100.0,136.2,135.41,131.51,130.94,13.24,56.45,1.109,1.1819,-0.0729,138.36,134.92,131.49,0.5583,136.2,0,0
AXTI,American Xtal Technology,NASD,Technology,Semiconductors,2026-08-14,9632500.0,81.64,67.04,69.19,50.25,28.14,59.33,4.2811,0.9311,3.35,91.11,62.25,33.39,2.9825,80.92,0,0
BAC,Bank Of America Corp.,NYSE,Financial,Banks,2026-08-14,21847900.0,64.49,63.1,59.64,54.17,36.62,68.43,1.377,1.3636,0.0134,65.0,62.61,60.22,0.3484,64.53,0,0
BAH,Booz Allen Hamilton Holding Corp.,NYSE,Industrial,Business Support Services,2026-08-14,1036200.0,77.46,74.2,69.46,79.62,30.37,64.45,2.8719,2.0956,0.7763,81.45,72.16,62.88,0.4099,77.94,0,0
BAM,Brookfield Asset Management Ltd.,NYSE,Financial,Asset Managers,2026-08-14,2859200.0,54.31,51.83,48.09,49.27,32.72,64.81,2.0835,1.5672,0.5163,56.95,50.27,43.6,1.0347,55.26,0,0
BAX,Baxter Intl Inc.,NYSE,Health Care,Medical Supplies,2026-08-14,4957200.0,26.73,26.89,22.94,19.8,42.22,60.8,1.3938,1.467,-0.0732,30.18,25.5,20.81,0.4023,26.69,0,0
BBH,VanEck Biotech ETF,NASD,,,2026-08-14,3400.0,218.04,212.84,202.5,193.02,24.34,66.5,4.7542,3.9402,0.8139,222.97,209.92,196.86,0.758,218.78,0,0
BBIO,BridgeBio Pharma Inc.,NASD,Health Care,Biotechnology,2026-08-14,3094000.0,79.86,82.57,77.19,72.71,29.41,46.11,1.0644,1.6868,-0.6223,85.85,82.64,79.43,1.811,80.24,0,0
BBY,"Best Buy Co, Inc.",NYSE,Consumer Discretionary,Specialty Retailers,2026-08-14,2920900.0,86.42,85.17,80.87,71.0,18.95,57.92,0.9251,1.3832,-0.4581,90.33,85.4,80.47,1.5242,86.11,0,0
BDX,Becton Dickinson and Co.,NYSE,Health Care,Medical Supplies,2026-08-14,1009000.0,183.4,174.34,157.81,171.4,38.52,75.72,7.6009,6.3123,1.2886,189.61,168.52,147.43,1.4438,183.62,0,0
BE,Bloom Energy Corp.,NYSE,Industrial,Industrial Suppliers,2026-08-14,12235400.0,229.94,214.13,247.24,184.56,17.44,51.08,-3.599,-8.9971,5.3981,253.69,211.48,169.28,11.7939,237.77,0,0
BEN,"Franklin Resources, Inc.",NYSE,Financial,Asset Managers,2026-08-14,2929100.0,33.86,33.9,33.18,27.67,14.5,53.03,0.243,0.2955,-0.0524,35.42,33.49,31.57,0.196,33.87,0,0
BETA,BETA Technologies Inc.,NYSE,Industrial,Aerospace,2026-08-14,3435400.0,24.86,21.77,18.5,,26.88,67.51,1.95,1.4351,0.5149,26.48,20.84,15.21,0.9065,25.41,0,0
BHP,BHP Group Limited,NYSE,Materials,General Mining,2026-08-14,2410400.0,86.78,87.19,84.86,73.68,13.32,51.86,1.4125,1.2382,0.1744,91.84,86.02,80.21,1.6064,86.87,0,0
BIIB,Biogen Inc.,NASD,Health Care,Biotechnology,2026-08-14,554800.0,209.83,206.94,203.34,186.38,17.38,55.35,1.7587,1.3642,0.3945,212.46,205.05,197.64,2.3979,210.51,0,0
BILL,Bill.com Holdings Inc.,NYSE,Technology,Software,2026-08-14,1807900.0,49.78,48.0,40.84,43.77,27.27,62.96,2.4524,2.3681,0.0843,51.87,46.65,41.42,0.8801,50.28,0,0
BKNG,Booking Holdings Inc.,NASD,Consumer Discretionary,Travel & Tourism,2026-08-14,4105800.0,212.06,204.71,183.55,2677.39,31.45,61.93,5.7697,2.9342,2.8355,224.84,196.99,169.14,0.466,212.45,0,0
BKR,Baker Hughes Company,NASD,Energy,Oil Equipment & Services,2026-08-14,6692500.0,64.82,61.96,59.4,57.35,22.12,65.14,1.6505,1.1371,0.5134,66.49,60.48,54.47,0.5175,64.31,0,0
BLK,"Blackrock, Inc.",NYSE,Financial,Asset Managers,2026-08-14,515000.0,1173.73,1130.02,1053.23,1053.87,31.54,69.06,33.9273,28.1689,5.7584,1194.84,1106.21,1017.58,18.1795,1183.28,0,0
BMRN,"BioMarin Pharmaceutical, Inc.",NASD,Health Care,Biotechnology,2026-08-14,1413400.0,67.36,63.89,59.55,56.87,28.58,66.07,2.6289,1.8969,0.7319,70.33,62.48,54.64,0.9722,68.1,0,0
BMY,Bristol Myers Squibb Co.,NYSE,Health Care,Pharmaceuticals,2026-08-14,7529800.0,63.83,64.38,59.58,56.6,42.68,56.54,1.3572,1.5954,-0.2383,66.7,63.47,60.24,0.5138,63.93,0,0
BNS,The Bank of Nova Scotia,NYSE,Financial,Banks,2026-08-14,1018500.0,91.54,88.65,86.71,76.49,24.61,66.28,1.0837,0.8493,0.2343,90.9,88.18,85.46,1.1203,91.54,0,0
BNY,Bank of New York Mellon Corp,NYSE,Financial,Asset Managers,2026-08-14,1924700.0,163.24,158.41,151.91,,38.55,68.59,4.0617,4.5036,-0.4419,163.63,158.54,153.45,1.4982,163.54,100,0
BP,BP Amoco PLC,NYSE,Energy,Integrated Oil & Gas,2026-08-14,6482000.0,42.53,42.89,41.23,40.21,16.3,51.39,0.3927,0.5049,-0.1122,44.9,42.93,40.97,0.2024,42.66,0,0
BR,"Broadridge Financial Solutions, LLC",NYSE,Industrial,Business Support Services,2026-08-14,587600.0,171.01,164.51,150.39,180.39,28.19,64.71,6.364,5.2822,1.0818,178.72,159.42,140.12,1.4014,170.68,0,0
BSY,"Bentley Systems, Inc.",NASD,Technology,Software,2026-08-14,2739200.0,36.24,35.87,32.47,36.3,19.1,60.99,1.1234,1.0736,0.0497,38.94,34.53,30.13,0.443,36.45,0,0
BTSG,BrightSpring Health Services Inc.,NASD,Health Care,Health Care Providers,2026-08-14,1606000.0,61.71,63.19,66.23,48.11,30.84,44.28,-2.1098,-1.4223,-0.6875,76.4,65.61,54.82,1.3747,60.76,0,0
BUG,Global X Cybersecurity ETF,NASD,,,2026-08-14,1244800.0,43.09,40.73,38.19,31.6,30.97,63.7,1.4654,1.1178,0.3477,44.65,40.06,35.48,0.6002,43.58,0,0
BURL,"Burlington Stores, Inc.",NYSE,Consumer Discretionary,Apparel Retailers,2026-08-14,990900.0,347.67,365.3,341.28,310.67,23.12,45.18,5.021,8.2997,-3.2787,380.31,361.13,341.94,7.9255,347.16,0,0
BWA,"BorgWarner, Inc.",NYSE,Consumer Discretionary,Auto Parts,2026-08-14,1562600.0,68.66,66.09,67.29,56.02,21.65,58.69,0.8932,0.2717,0.6214,70.37,65.36,60.34,0.6113,68.26,0,0
BX,Blackstone Group Inc.,NYSE,Financial,Asset Managers,2026-08-14,3805000.0,143.93,137.58,126.28,131.08,26.38,63.31,5.862,4.6225,1.2394,150.17,134.19,118.2,2.6542,147.04,-100,0
C,"Citigroup, Inc.",NYSE,Financial,Banks,2026-08-14,6829900.0,139.33,134.85,137.05,120.7,16.36,58.83,0.679,-0.1079,0.787,140.05,133.94,127.84,1.6067,139.56,0,0
CAH,"Cardinal Health, Inc.",NYSE,Health Care,Medical Supplies,2026-08-14,1687800.0,235.17,234.23,229.23,212.59,23.34,54.04,2.2275,2.4161,-0.1886,241.98,231.8,221.61,3.0044,233.01,100,0
CAKE,Cheesecake Factory Inc.,NASD,Consumer Discretionary,Restaurants & Bars,2026-08-14,1410500.0,113.38,106.43,86.09,63.96,64.07,75.87,8.674,7.9118,0.7622,122.33,100.26,78.18,2.1182,114.0,0,0
CART,Maplebear Inc.,NASD,Consumer Discretionary,Special Consumer Services,2026-08-14,2953700.0,48.88,47.11,45.65,41.4,17.62,57.66,1.0832,0.6878,0.3954,51.11,46.26,41.42,0.7688,48.94,0,0
CAT,"Caterpillar, Inc.",NYSE,Industrial,Commercial Vehicles,2026-08-14,1894800.0,856.57,840.86,912.53,754.39,14.56,46.49,-16.6778,-20.9546,4.2769,911.2,853.61,796.02,7.6532,859.39,0,0
CAVA,Cava Group Inc.,NYSE,Consumer Discretionary,Restaurants & Bars,2026-08-14,3593900.0,74.42,65.66,72.62,70.82,22.54,61.69,-0.7244,-2.3035,1.5791,71.76,64.93,58.09,5.5369,75.1,0,0
CB,Chubb Ltd.,NYSE,Financial,Property-Casualty Insurance,2026-08-14,2433200.0,343.64,350.46,343.46,322.15,13.24,45.23,-0.0585,1.7442,-1.8027,363.27,351.45,339.62,1.9727,342.97,-100,0
CBRE,"CBRE Group, Inc.",NYSE,Real Estate,Real Estate Services,2026-08-14,950700.0,152.86,148.64,139.93,147.45,24.61,62.9,3.0222,2.8091,0.2132,155.89,145.69,135.49,3.267,153.16,0,0
CCEP,Coca-Cola Europacific Partners Plc,NASD,Consumer Staples,Soft Drinks,2026-08-14,1280300.0,107.64,108.42,103.69,96.36,19.31,54.2,0.9565,1.4043,-0.4478,111.87,107.63,103.39,0.6023,107.79,0,0
CDW,CDW Corp.,NASD,Technology,Computer Services,2026-08-14,1173400.0,139.42,142.49,136.19,132.14,23.66,50.97,1.0952,1.8474,-0.7522,153.0,139.32,125.64,2.4318,140.52,0,0
CF,"CF Industries Holdings, Inc.",NYSE,Materials,Specialty Chemicals,2026-08-14,1277100.0,118.3,120.0,114.95,104.74,18.78,49.3,0.2069,0.9291,-0.7222,129.21,121.27,113.34,1.6048,117.51,0,0
CFG,Citizens Financial Group Inc.,NYSE,Financial,Banks,2026-08-14,1918800.0,74.73,72.94,70.37,62.57,16.42,64.27,1.028,0.9819,0.0461,74.56,72.59,70.63,0.7532,74.73,0,0
CFR,Cullen Frost Bankers Inc.,NYSE,Financial,Banks,2026-08-14,608200.0,170.08,166.77,157.04,140.36,19.75,68.32,3.1545,3.3756,-0.2211,170.45,165.55,160.66,1.6496,169.96,100,0
CGNX,Cognex Corp.,NASD,Technology,Electronic Equipment,2026-08-14,2394600.0,65.63,64.65,64.7,51.96,14.49,52.2,-0.1284,0.0678,-0.1962,70.72,64.02,57.33,1.7994,63.28,0,0
CHD,"Church & Dwight Co, Inc.",NYSE,Consumer Staples,Nondurable Home Products,2026-08-14,1426500.0,101.3,101.39,98.34,93.8,11.38,55.12,1.26,1.2675,-0.0075,105.17,100.13,95.09,0.8749,100.9,0,0
CHEF,"Chefs' Warehouse, Inc.",NASD,Consumer Staples,Food Retailers,2026-08-14,2760400.0,109.08,109.5,97.95,73.66,25.3,59.57,4.1152,4.2687,-0.1535,119.63,105.13,90.64,1.2913,110.75,0,0
CHYM,Chime Financial Inc.,NASD,Financial,Consumer Finance,2026-08-14,5165700.0,32.02,27.45,21.81,21.73,44.3,77.01,3.0067,2.2966,0.7101,34.26,25.68,17.1,0.4612,32.23,0,0
CIEN,CIENA Corp.,NYSE,Technology,Telecom Equipment,2026-08-14,2518900.0,428.77,395.43,428.08,363.2,19.1,53.73,-2.1541,-11.0207,8.8666,447.24,394.82,342.41,23.5311,443.39,0,0
CLH,"Clean Harbors, Inc.",NYSE,Industrial,Waste & Disposal Services,2026-08-14,552800.0,321.98,313.36,301.26,274.75,18.67,65.6,4.2341,3.6571,0.577,323.75,311.04,298.32,4.6889,322.61,0,0
CLS,"Celestica, Inc.",NYSE,Technology,Electrical Components,2026-08-14,2443300.0,335.05,336.97,349.81,330.09,11.99,49.34,-3.6791,-5.1395,1.4604,368.94,332.93,296.93,14.3774,344.91,-100,0
CNC,Centene Corp.,NYSE,Health Care,Health Care Providers,2026-08-14,2267800.0,67.47,64.69,64.93,48.12,19.27,56.51,0.568,0.2967,0.2713,68.56,64.81,61.06,0.9022,66.99,0,0
CNQ,Canadian Natural Resources Ltd.,NYSE,Energy,Exploration & Production,2026-08-14,8047900.0,47.97,46.56,43.92,41.16,19.44,63.1,1.0508,0.9235,0.1273,48.7,46.24,43.78,0.2282,47.89,0,0
COF,Capital One Fncl Corp.,NYSE,Financial,Consumer Finance,2026-08-14,2972600.0,227.34,217.93,204.11,207.63,22.69,70.2,5.8276,5.0482,0.7794,229.84,213.76,197.68,3.1239,226.63,0,0
COHR,Coherent Corp.,NYSE,Technology,Electronic Equipment,2026-08-14,8757800.0,325.83,306.66,337.31,265.55,17.46,51.31,3.7944,-3.3884,7.1828,381.0,303.75,226.5,11.6306,332.52,0,0
COLB,"Columbia Banking System, Inc.",NASD,Financial,Banks,2026-08-14,2543400.0,32.69,31.56,31.55,29.36,15.18,60.92,0.1367,0.0322,0.1046,33.06,31.72,30.38,0.519,32.79,0,0
COP,ConocoPhillips,NYSE,Energy,Integrated Oil & Gas,2026-08-14,5626500.0,126.78,120.41,114.38,109.42,18.35,64.94,3.157,2.3477,0.8093,127.35,119.69,112.03,1.5579,126.73,0,0
CORT,Corcept Therapeutics Inc.,NASD,Health Care,Pharmaceuticals,2026-08-14,728900.0,114.47,109.66,92.89,63.62,44.37,64.82,6.5593,6.6307,-0.0714,123.88,104.83,85.78,1.4734,112.51,0,0
CP,Canadian Pacific Kansas City Limited,NYSE,Industrial,Railroad,2026-08-14,2714600.0,93.5,91.23,89.81,81.52,18.07,59.82,0.8203,0.6129,0.2074,94.01,91.37,88.73,1.2123,94.1,0,0
CRBG,Corebridge Financial Inc.,NYSE,Financial,Specialty Finance,2026-08-14,2685500.0,34.47,32.99,30.55,28.81,31.71,66.26,1.0683,0.9553,0.113,35.01,32.51,30.01,0.4323,34.26,0,0
CRDO,Credo Technology Group Holding Ltd.,NASD,Technology,Telecom Equipment,2026-08-14,3384500.0,259.9,230.05,239.39,171.09,17.32,57.86,7.5899,1.3542,6.2357,274.53,227.14,179.76,10.8595,267.98,0,0
CRL,Charles River Laboratorie,NYSE,Health Care,Biotechnology,2026-08-14,750300.0,280.05,257.55,223.88,191.34,42.15,76.21,17.1819,13.8706,3.3113,294.67,247.19,199.7,2.4213,282.01,0,0
CRM,"Salesforce.com, Inc.",NYSE,Technology,Software,2026-08-14,8664700.0,196.21,190.71,172.5,202.2,18.1,60.49,7.643,6.415,1.2281,208.63,183.54,158.46,2.5887,197.43,0,0
CRNX,"Crinetics Pharmaceuticals, Inc.",NASD,Health Care,Pharmaceuticals,2026-08-14,2279000.0,84.7,84.04,63.78,48.12,77.77,90.47,4.8563,6.3272,-1.4709,84.57,83.97,83.36,0.1771,84.66,100,0
CROX,"Crocs, Inc.",NASD,Consumer Discretionary,Footwear,2026-08-14,756500.0,131.72,133.58,129.11,100.06,15.15,49.64,1.2404,2.0731,-0.8327,141.29,133.94,126.58,2.6883,130.54,0,0
CRWD,"CrowdStrike Holdings, Inc.",NASD,Technology,Software,2026-08-14,6750200.0,216.95,206.71,386.8,455.64,35.23,37.03,-34.2962,-51.4638,17.1676,233.27,200.94,168.62,3.0874,219.71,-100,0
CRWV,CoreWeave Inc.,NASD,Technology,Software,2026-08-14,33337900.0,105.26,86.8,90.66,92.95,20.84,62.81,4.1184,0.1733,3.9451,109.23,83.71,58.2,8.4836,109.6,0,0
CSCO,"Cisco Systems, Inc.",NASD,Technology,Telecom Equipment,2026-08-14,29415100.0,111.68,117.94,117.42,91.97,16.91,41.76,0.6452,0.9865,-0.3413,124.81,116.39,107.97,4.9077,112.68,0,0
CSX,CSX Corp.,NASD,Industrial,Railroad,2026-08-14,5625200.0,50.16,50.4,48.99,42.02,19.43,51.29,0.2713,0.4926,-0.2213,52.52,50.67,48.82,0.0786,50.14,0,0
CTAS,Cintas Corp.,NASD,Industrial,Business Support Services,2026-08-14,1612700.0,199.52,204.92,189.0,185.55,29.59,51.03,3.3794,5.105,-1.7257,213.57,204.63,195.69,2.0392,200.15,0,0
CTSH,Cognizant Technology Solutions Corp.,NASD,Technology,Computer Services,2026-08-14,10665300.0,58.79,56.45,48.33,63.56,33.05,71.51,3.5127,3.0135,0.4993,64.59,52.87,41.14,0.3871,58.97,0,0
CVE,Cenovus Energy Inc.,NYSE,Energy,Integrated Oil & Gas,2026-08-14,6534500.0,31.01,29.35,27.57,23.49,20.28,64.92,0.7604,0.6126,0.1478,31.12,29.2,27.28,0.5196,30.97,0,0
CVNA,Carvana Co.,NYSE,Consumer Discretionary,Specialty Retailers,2026-08-14,5472300.0,75.59,69.07,67.17,269.87,19.94,58.68,0.403,-1.4281,1.8311,76.46,67.21,57.95,1.2724,74.49,0,0
CVS,CVS Health Corp.,NYSE,Health Care,Pharmaceuticals,2026-08-14,9439200.0,97.16,100.13,102.28,85.37,35.1,40.54,-2.3079,-1.1863,-1.1215,113.82,102.49,91.16,1.2012,96.11,0,0
CVX,Chevron Corp.,NYSE,Energy,Integrated Oil & Gas,2026-08-14,7910400.0,200.0,192.87,183.99,177.33,21.91,64.51,3.694,3.1795,0.5146,200.13,192.66,185.19,1.6723,199.42,0,0
CYTK,Cytokinetics Inc.,NASD,Health Care,Biotechnology,2026-08-14,1756900.0,74.13,77.47,78.84,68.83,13.76,38.88,-1.4041,-0.7558,-0.6483,83.46,78.51,73.57,1.4791,73.49,0,0
CZR,"Caesars Entertainment, Inc.",NASD,Consumer Discretionary,Gambling,2026-08-14,3486000.0,29.75,29.86,29.79,25.75,15.83,47.96,0.0132,0.0622,-0.049,30.22,29.88,29.55,0.1568,29.63,0,0
D,"Dominion Energy, Inc.",NYSE,Utilities,Multiutilities,2026-08-14,1951400.0,68.77,68.65,68.98,63.61,21.8,49.09,-0.3639,-0.2155,-0.1484,71.97,69.26,66.55,0.5577,68.86,0,0
